Roary,Name,HG003ProkkaGene,HG003ProkkaTag,HG003ProkkaStart,HG003ProkkaStop,HG003NewTag,HG003NewStart,HG003NewStop,HG003Description,USA300ProkkaGene,USA300ProkkaTag,USA300ProkkaStart,USA300ProkkaStop,USA300NewTag,USA300NewStart,USA300NewStop,USA300OldTag,USA300OldStart,USA300OldStop,USA300Description,MW2ProkkaGene,MW2ProkkaTag,MW2ProkkaStart,MW2ProkkaStop,MW2NewTag,MW2NewStart,MW2NewStop,MW2OldTag,MW2OldStart,MW2OldStop,MW2Description,MSSA476ProkkaGene,MSSA476ProkkaTag,MSSA476ProkkaStart,MSSA476ProkkaStop,MSSA476NewTag,MSSA476NewStart,MSSA476NewStop,MSSA476OldTag,MSSA476OldStart,MSSA476OldStop,MSSA476Description,MRSA252ProkkaGene,MRSA252ProkkaTag,MRSA252ProkkaStart,MRSA252ProkkaStop,MRSA252NewTag,MRSA252NewStart,MRSA252NewStop,MRSA252OldTag,MRSA252OldStart,MRSA252OldStop,MRSA252Description
accD,accD,accD,HG003_01586,1711926,1712783,SAOUHSC_01809,1711926,1712783,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,accD,USA300_01688,1809313,1810170,USA300HOU_RS09020,1809313,1810170,USA300HOU_1687,1809313,1810170,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,accD,MW2_01632,1777236,1778093,MW_RS08770,1777236,1778093,MW1644,1777236,1778093,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,accD,A476_01609,1756889,1757746,SAS_RS08645,1756889,1757746,SAS1628,1756889,1757746,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,accD,MRSA252_01729,1848856,1849713,SAR_RS09105,1848856,1849713,SAR1779,1848856,1849713,Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
ackA,ackA,ackA,HG003_01596,1725538,1726740,SAOUHSC_01820,1725538,1726740,Acetate kinase,ackA,USA300_01698,1822925,1824127,USA300HOU_RS09075,1822925,1824127,USA300HOU_1698,1822925,1824127,Acetate kinase,ackA,MW2_01642,1791041,1792243,MW_RS08830,1791041,1792243,MW1654,1791041,1792243,Acetate kinase,ackA,A476_01619,1770694,1771896,SAS_RS08705,1770694,1771896,SAS1638,1770694,1771896,Acetate kinase,ackA,MRSA252_01740,1862513,1863715,SAR_RS09160,1862513,1863715,SAR1789,1862513,1863715,Acetate kinase
acp,acp,acp,HG003_00839,922423,923991,SAOUHSC_00949,922423,923991,Sodium/proton-dependent alanine carrier protein,acp,USA300_00945,1016507,1018075,USA300HOU_RS05020,1016507,1018075,USA300HOU_0971,1016507,1018075,Sodium/proton-dependent alanine carrier protein,acp,MW2_00897,986395,987963,MW_RS04805,986395,987963,MW0894,986395,987963,Sodium/proton-dependent alanine carrier protein,acp,A476_00874,970364,971932,SAS_RS04695,970364,971932,SAS0882,970364,971932,Sodium/proton-dependent alanine carrier protein,acp,MRSA252_00952,1024660,1026228,SAR_RS04980,1024660,1026228,SAR0980,1024660,1026228,Sodium/proton-dependent alanine carrier protein
acpP,acpP,acpP,HG003_01058,1151545,1151778,SAOUHSC_01201,1151545,1151778,Acyl carrier protein,acpP,USA300_01163,1245438,1245671,USA300HOU_RS06195,1245438,1245671,USA300HOU_1169,1245438,1245671,Acyl carrier protein,acpP,MW2_01114,1215716,1215949,MW_RS05990,1215716,1215949,MW1115,1215716,1215949,Acyl carrier protein,acpP,A476_01155,1244325,1244558,SAS_RS06190,1244325,1244558,SAS1166,1244325,1244558,Acyl carrier protein,acpP,MRSA252_01173,1257757,1257990,SAR_RS06170,1257757,1257990,SAR1208,1257757,1257990,Acyl carrier protein
acpS,acpS,acpS,HG003_02050,2136767,2137126,SAOUHSC_02306,2136767,2137126,Holo-[acyl-carrier-protein] synthase,acpS,USA300_02080,2190240,2190599,USA300HOU_RS11185,2190240,2190599,USA300HOU_2066,2190240,2190599,Holo-[acyl-carrier-protein] synthase,acpS,MW2_02006,2151210,2151569,MW_RS10880,2151210,2151569,MW1995,2151210,2151569,Holo-[acyl-carrier-protein] synthase,acpS,A476_01985,2130336,2130695,SAS_RS10745,2130336,2130695,SAS1976,2130336,2130695,Holo-[acyl-carrier-protein] synthase,acpS,MRSA252_02129,2227630,2227989,SAR_RS11250,2227630,2227989,SAR2159,2227630,2227989,Holo-[acyl-carrier-protein] synthase
acrR,acrR,acrR,HG003_02558,2666990,2667547,SAOUHSC_02897,2666990,2667547,HTH-type transcriptional regulator AcrR,acrR,USA300_02584,2718507,2719064,USA300HOU_RS13985,2718507,2719064,USA300HOU_2572,2718507,2719064,HTH-type transcriptional regulator AcrR,acrR,MW2_02492,2663796,2664353,MW_RS13540,2663796,2664353,MW2498,2663796,2664353,HTH-type transcriptional regulator AcrR,acrR,A476_02472,2643154,2643711,SAS_RS13405,2643154,2643711,SAS2464,2643154,2643711,HTH-type transcriptional regulator AcrR,acrR,MRSA252_02628,2746004,2746561,SAR_RS13945,2746004,2746561,SAR2658,2746004,2746561,HTH-type transcriptional regulator AcrR
acsA_1,acsA_1,acsA_1,HG003_01617,1752547,1754253,SAOUHSC_01846,1752547,1754253,Acetyl-coenzyme A synthetase,acsA_1,USA300_01719,1849896,1851602,USA300HOU_RS09200,1849896,1851602,USA300HOU_1722,1849896,1851602,Acetyl-coenzyme A synthetase,acsA_1,MW2_01663,1818050,1819756,MW_RS08960,1818050,1819756,MW1676,1818050,1819756,Acetyl-coenzyme A synthetase,acsA_1,A476_01640,1797703,1799409,SAS_RS08835,1797703,1799409,SAS1659,1797703,1799409,Acetyl-coenzyme A synthetase,acsA_1,MRSA252_01762,1889504,1891210,SAR_RS09290,1889504,1891210,SAR1811,1889504,1891210,Acetyl-coenzyme A synthetase
acsA_2,acsA_2,acsA_2,HG003_02587,2694919,2696538,SAOUHSC_02929,2694919,2696517,Acetyl-coenzyme A synthetase,acsA_2,USA300_02612,2746437,2748056,USA300HOU_RS14140,2746437,2748035,USA300HOU_2602,2746437,2748035,Acetyl-coenzyme A synthetase,acsA_2,MW2_02521,2692379,2693998,MW_RS13700,2692379,2693977,MW2528,2692379,2693977,Acetyl-coenzyme A synthetase,acsA_2,A476_02501,2671725,2673344,SAS_RS13565,2671725,2673323,SAS2494,2671725,2673344,Acetyl-coenzyme A synthetase,acsA_2,MRSA252_02656,2773938,2775557,SAR_RS14100,2773938,2775536,SAR2687,2773938,2775557,Acetyl-coenzyme A synthetase
gluP,actH,gluP,HG003_01444,1562911,1563921,SAOUHSC_01649,1562458,1563921,Rhomboid protease GluP,gluP,USA300_01548,1659845,1661308,USA300HOU_RS08270,1659845,1661308,USA300HOU_1551,1659845,1661308,Rhomboid protease GluP,gluP,MW2_01493,1628933,1630396,MW_RS08030,1628933,1630396,MW1501,1628933,1630396,Rhomboid protease GluP,gluP,A476_01471,1608643,1610106,SAS_RS07905,1608643,1610106,SAS1487,1608643,1610106,Rhomboid protease GluP,gluP,MRSA252_01583,1694109,1695572,SAR_RS08330,1694109,1695572,SAR1626,1694109,1695572,Rhomboid protease GluP
acuA,acuA,acuA,HG003_01618,1754422,1755054,SAOUHSC_01847,1754422,1755054,Acetoin utilization protein AcuA,acuA,USA300_01720,1851771,1852403,USA300HOU_RS09205,1851771,1852403,USA300HOU_1723,1851771,1852403,Acetoin utilization protein AcuA,acuA,MW2_01664,1819925,1820557,MW_RS08965,1819925,1820557,MW1677,1819925,1820557,Acetoin utilization protein AcuA,acuA,A476_01641,1799578,1800210,SAS_RS08840,1799578,1800210,SAS1660,1799578,1800210,Acetoin utilization protein AcuA,acuA,MRSA252_01763,1891379,1892011,SAR_RS09295,1891379,1892011,SAR1812,1891379,1892011,Acetoin utilization protein AcuA
acuC,acuC,acuC,HG003_01619,1755079,1756248,SAOUHSC_01849,1755079,1756248,Acetoin utilization protein AcuC,acuC,USA300_01721,1852428,1853597,USA300HOU_RS09210,1852428,1853597,USA300HOU_1724,1852428,1853597,Acetoin utilization protein AcuC,acuC,MW2_01665,1820582,1821751,MW_RS08970,1820582,1821751,MW1678,1820582,1821751,Acetoin utilization protein AcuC,acuC,A476_01642,1800235,1801404,SAS_RS08845,1800235,1801404,SAS1661,1800235,1801404,Acetoin utilization protein AcuC,acuC,MRSA252_01764,1892036,1893205,SAR_RS09300,1892036,1893205,SAR1813,1892036,1893205,Acetoin utilization protein AcuC
yccX,acyP,yccX,HG003_01235,1346759,1347028,SAOUHSC_01406,1346759,1347028,Acylphosphatase,yccX,USA300_01339,1440682,1440951,USA300HOU_RS07155,1440682,1440951,,,,Acylphosphatase,yccX,MW2_01288,1411420,1411689,MW_RS06935,1411420,1411689,MW1292,1411420,1411689,Acylphosphatase,yccX,A476_01329,1439974,1440243,SAS_RS07130,1439974,1440243,SAS1345,1439974,1440243,Acylphosphatase,yccX,MRSA252_01375,1473529,1473798,SAR_RS07230,1473529,1473798,SAR1416,1473529,1473798,Acylphosphatase
addA,addA,addA,HG003_00795,871848,875501,SAOUHSC_00905,871848,875501,ATP-dependent helicase/nuclease subunit A,addA,USA300_00900,965933,969586,USA300HOU_RS04800,965933,969586,USA300HOU_0926,965933,969586,ATP-dependent helicase/nuclease subunit A,addA,MW2_00853,935819,939472,MW_RS04585,935819,939472,MW0849,935819,939472,ATP-dependent helicase/nuclease subunit A,addA,A476_00830,919788,923441,SAS_RS04475,919788,923441,SAS0837,919788,923441,ATP-dependent helicase/nuclease subunit A,addA,MRSA252_00901,967785,971438,SAR_RS04730,967785,971438,SAR0929,967785,971438,ATP-dependent helicase/nuclease subunit A
addB,addB,addB,HG003_00794,868371,871847,SAOUHSC_00904,868371,871847,ATP-dependent helicase/deoxyribonuclease subunit B,addB,USA300_00899,962456,965932,USA300HOU_RS04795,962456,965932,USA300HOU_0925,962456,965932,ATP-dependent helicase/deoxyribonuclease subunit B,addB,MW2_00852,932342,935818,MW_RS04580,932342,935818,MW0848,932342,935818,ATP-dependent helicase/deoxyribonuclease subunit B,addB,A476_00829,916311,919787,SAS_RS04470,916311,919787,SAS0836,916311,919787,ATP-dependent helicase/deoxyribonuclease subunit B,addB,MRSA252_00900,964308,967784,SAR_RS04725,964308,967784,SAR0928,964308,967784,ATP-dependent helicase/deoxyribonuclease subunit B
adh,adh1,adh,HG003_00528,600268,601278,SAOUHSC_00608,600268,601278,Alcohol dehydrogenase,adh,USA300_00601,668016,669026,USA300HOU_RS03215,668016,669026,USA300HOU_0610,668016,669026,Alcohol dehydrogenase,adh,MW2_00571,651985,652995,MW_RS03110,651985,652995,MW0568,651985,652995,Alcohol dehydrogenase,adh,A476_00567,650677,651687,SAS_RS03080,650677,651687,SAS0573,650677,651687,Alcohol dehydrogenase,adh,MRSA252_00597,662085,663095,SAR_RS03150,662085,663095,SAR0613,662085,663095,Alcohol dehydrogenase
adhD,adhC,,,,,,,,,adhD,USA300_00055,64041,65168,USA300HOU_RS00275,64041,65168,USA300HOU_0059,64071,65168,Putative alcohol dehydrogenase D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adhE,adhE,adhE,HG003_00097,116538,119147,SAOUHSC_00113,116538,119147,Aldehyde-alcohol dehydrogenase,adhE,USA300_00152,171101,173710,USA300HOU_RS00795,171101,173710,USA300HOU_0162,171101,173710,Aldehyde-alcohol dehydrogenase,adhE,MW2_00122,142665,MW_RS00640,MW_RS00655,142665,145274,MW0123,142665,145274,Aldehyde-alcohol dehydrogenase,adhE,A476_00121,141371,143980,SAS_RS00635,141371,143980,SAS0123,141371,143980,Aldehyde-alcohol dehydrogenase,adhE,MRSA252_00146,165704,168313,SAR_RS00735,165704,168313,SAR0150,165704,168313,Aldehyde-alcohol dehydrogenase
adhR,adhR,adhR,HG003_02186,2284053,2284469,SAOUHSC_02461,2284053,2284469,HTH-type transcriptional regulator AdhR,adhR,USA300_02215,2337418,2337834,USA300HOU_RS11930,2337418,2337834,USA300HOU_2195,2337418,2337834,HTH-type transcriptional regulator AdhR,adhR,MW2_02135,2293580,2293996,MW_RS11580,2293580,2293996,MW2128,2293580,2293996,HTH-type transcriptional regulator AdhR,adhR,A476_02114,2272685,2273101,SAS_RS11445,2272685,2273101,SAS2102,2272685,2273101,HTH-type transcriptional regulator AdhR,adhR,MRSA252_02264,2374898,2375314,SAR_RS11975,2374898,2375314,SAR2291,2374898,2375314,HTH-type transcriptional regulator AdhR
adk,adk,adk,HG003_02210,2306985,2307632,SAOUHSC_02490,2306985,2307632,Adenylate kinase,adk,USA300_02239,2360349,2360996,USA300HOU_RS12070,2360349,2360996,USA300HOU_2220,2360349,2360996,Adenylate kinase,adk,MW2_02152,2308892,2309539,MW_RS11675,2308892,2309539,MW2148,2308892,2309539,Adenylate kinase,adk,A476_02131,2287997,2288644,SAS_RS11540,2287997,2288644,SAS2120,2287997,2288644,Adenylate kinase,adk,MRSA252_02286,2396434,2397081,SAR_RS12100,2396434,2397081,SAR2314,2396434,2397081,Adenylate kinase
mggB_1,adsA,mggB_1,HG003_00025,31005,33323,SAOUHSC_00025,31005,33323,Mannosylglucosyl-3-phosphoglycerate phosphatase,mggB_1,USA300_00025,31026,33344,USA300HOU_RS00125,31026,33344,USA300HOU_0023,30984,33344,Mannosylglucosyl-3-phosphoglycerate phosphatase,mggB_1,MW2_00025,31003,33321,MW_RS00125,31003,33321,MW0023,31003,33321,Mannosylglucosyl-3-phosphoglycerate phosphatase,mggB_1,A476_00025,31003,33321,SAS_RS00125,31003,33321,SAS0023,30961,33321,Mannosylglucosyl-3-phosphoglycerate phosphatase,mggB_1,MRSA252_00025,30974,33292,SAR_RS00125,30974,33292,SAR0023,30932,33292,Mannosylglucosyl-3-phosphoglycerate phosphatase
aes,aes,aes,HG003_00576,648521,649564,SAOUHSC_00661,648521,649564,Acetyl esterase,aes,USA300_00665,729350,730393,USA300HOU_RS03540,729350,730393,USA300HOU_0676,729350,730393,Acetyl esterase,aes,MW2_00619,700033,701076,MW_RS03355,700033,701076,MW0617,700033,701076,Acetyl esterase,aes,A476_00615,698531,699574,SAS_RS03325,698531,699574,SAS0620,698531,699574,Acetyl esterase,aes,MRSA252_00647,711729,712772,SAR_RS03410,711729,712772,SAR0665,711729,712772,Acetyl esterase
agrA,agrA,agrA,HG003_02015,2095916,2096632,SAOUHSC_02265,2096006,2096632,Accessory gene regulator A,agrA,USA300_02046,2149621,2150337,USA300HOU_RS10975,2149621,2150337,USA300HOU_2035,2149621,2150337,Accessory gene regulator A,agrA,MW2_01972,2110092,2110808,MW_RS10675,2110092,2110808,MW1963,2110092,2110808,Accessory gene regulator A,agrA,A476_01951,2089217,2089933,SAS_RS10540,2089217,2089933,SAS1944,2089217,2089933,Accessory gene regulator A,agrA,MRSA252_02094,2186110,2186826,SAR_RS11045,2186110,2186826,SAR2126,2186110,2186826,Accessory gene regulator A
group_1116,agrB_1,agrB,HG003_02012,2093820,2094443,SAOUHSC_02261,2093874,2094443,Accessory gene regulator protein B,agrB,USA300_02043,2147525,2148148,USA300HOU_RS10960,2147579,2148148,USA300HOU_2032,2147579,2148148,Accessory gene regulator protein B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agrB,agrB_2,,,,,,,,,,,,,,,,,,,,agrB,MW2_01969,2107995,2108612,MW_RS10660,2108049,2108612,MW1960,2108049,2108612,Accessory gene regulator protein B,agrB,A476_01948,2087120,2087737,SAS_RS10525,2087174,2087737,SAS1941,2087174,2087737,Accessory gene regulator protein B,agrB,MRSA252_02091,2184013,2184630,SAR_RS11030,2184067,2184630,SAR2123,2184067,2184630,Accessory gene regulator protein B
dpiB,agrC_1,dpiB,HG003_02014,2094605,2095897,SAOUHSC_02264,2094653,2095897,Sensor histidine kinase DpiB,,USA300_02045,2148310,2149602,USA300HOU_RS10970,2148310,2149602,USA300HOU_2034,2148310,2149602,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_961,agrC_2,,,,,,,,,,,,,,,,,,,,,MW2_01971,2108781,2110073,MW_RS10670,2108781,2110073,MW1962,2108781,2110073,hypothetical protein,,A476_01950,2087906,2089198,SAS_RS10535,2087963,2089198,SAS1943,2087906,2089198,hypothetical protein,,MRSA252_02093,2184799,2186091,SAR_RS11040,2184799,2186091,SAR2125,2184799,2186091,hypothetical protein
group_1117,agrD_1,,HG003_02013,2094440,2094580,SAOUHSC_02262,2094440,2094580,hypothetical protein,,USA300_02044,2148145,2148285,USA300HOU_RS10965,2148145,2148285,USA300HOU_2033,2148145,2148285,hypothetical protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
group_960,agrD_2,,,,,,,,,,,,,,,,,,,,,MW2_01970,2108616,2108756,MW_RS10665,2108616,2108756,MW1961,2108616,2108756,hypothetical protein,,A476_01949,2087741,2087881,SAS_RS10530,2087741,2087881,SAS1942,2087741,2087881,hypothetical protein,,MRSA252_02092,2184634,2184774,SAR_RS11035,2184634,2184774,SAR2124,2184634,2184774,hypothetical protein
ahpC,ahpC,ahpC,HG003_00321,371268,371837,SAOUHSC_00365,371268,371837,Alkyl hydroperoxide reductase subunit C,ahpC,USA300_00385,429306,429875,USA300HOU_RS02020,429306,429875,USA300HOU_0404,429306,429875,Alkyl hydroperoxide reductase subunit C,ahpC,MW2_00353,403621,404190,MW_RS01875,403621,404190,MW0357,403621,404190,Alkyl hydroperoxide reductase subunit C,ahpC,A476_00350,402266,402835,SAS_RS01845,402266,402835,SAS0358,402266,402835,Alkyl hydroperoxide reductase subunit C,ahpC,MRSA252_00388,434182,434751,SAR_RS02010,434182,434751,SAR0399,434182,434751,Alkyl hydroperoxide reductase subunit C
ahpD,ahpD,ahpD,HG003_02455,2551738,2552160,SAOUHSC_02774,2551738,2552160,Alkyl hydroperoxide reductase AhpD,ahpD,USA300_02480,2604784,2605206,USA300HOU_RS13410,2604784,2605206,USA300HOU_2465,2604784,2605206,Alkyl hydroperoxide reductase AhpD,ahpD,MW2_02392,2553682,2554104,MW_RS13005,2553682,2554104,MW2398,2553682,2554104,Alkyl hydroperoxide reductase AhpD,ahpD,A476_02371,2532974,2533396,SAS_RS12870,2532974,2533396,SAS2365,2532974,2533396,Alkyl hydroperoxide reductase AhpD,ahpD,MRSA252_02532,2644560,2644982,SAR_RS13435,2644560,2644982,SAR2561,2644560,2644982,Alkyl hydroperoxide reductase AhpD
ahpF,ahpF,ahpF,HG003_00320,369729,371252,SAOUHSC_00364,369729,371252,Alkyl hydroperoxide reductase subunit F,ahpF,USA300_00384,427767,429290,USA300HOU_RS02015,427767,429290,USA300HOU_0403,427767,429290,Alkyl hydroperoxide reductase subunit F,ahpF,MW2_00352,402082,403605,MW_RS01870,402082,403605,MW0356,402082,403605,Alkyl hydroperoxide reductase subunit F,ahpF,A476_00349,400727,402250,SAS_RS01840,400727,402250,SAS0357,400727,402250,Alkyl hydroperoxide reductase subunit F,ahpF,MRSA252_00387,432643,434166,SAR_RS02005,432643,434166,SAR0398,432643,434166,Alkyl hydroperoxide reductase subunit F
liaR,airR,liaR,HG003_01739,1884700,1885323,SAOUHSC_01980,1884700,1885323,Transcriptional regulatory protein LiaR,liaR,USA300_01843,1981757,1982380,USA300HOU_RS09875,1981757,1982380,USA300HOU_1842,1981757,1982380,Transcriptional regulatory protein LiaR,liaR,MW2_01777,1944292,1944915,MW_RS09590,1944292,1944915,MW1789,1944292,1944915,Transcriptional regulatory protein LiaR,liaR,A476_01756,1923626,1924249,SAS_RS09465,1923626,1924249,SAS1769,1923626,1924249,Transcriptional regulatory protein LiaR,liaR,MRSA252_01894,2021366,2021989,SAR_RS09965,2021366,2021989,SAR1939,2021366,2021989,Transcriptional regulatory protein LiaR
