Reference	Position	Locus	Gene	PlusCount	MinusCount	TotalCount	Product	ProteinID	Note	Sequence
NC_007795.1	151501			3	0	3				
NC_007795.1	1275907			0	57	57				
NC_007795.1	1757331			0	40	40				
NC_007795.1	1637962			0	8	8				
NC_007795.1	2195395			0	34	34				
NC_007795.1	996937			0	1	1				
NC_007795.1	310211			0	35	35				
NC_007795.1	2104413			48	0	48				
NC_007795.1	2517859			0	58	58				
NC_007795.1	2324433			0	60	60				
NC_007795.1	28781			0	2	2				
NC_007795.1	2467596			0	5	5				
NC_007795.1	96416			0	5	5				
NC_007795.1	193586			14	0	14				
NC_007795.1	1673270			0	10	10				
NC_007795.1	2373723			0	28	28				
NC_007795.1	573087			0	42	42				
NC_007795.1	249325			0	24	24				
NC_007795.1	2099787			0	3	3				
NC_007795.1	487394			0	4	4				
NC_007795.1	520040			0	19	19				
NC_007795.1	2689296			0	2	2				
NC_007795.1	381309			0	3	3				
NC_007795.1	1374197			0	11	11				
NC_007795.1	1119465			0	2	2				
NC_007795.1	1483959			0	2	2				
NC_007795.1	480381			0	8	8				
NC_007795.1	1191723			0	2	2				
NC_007795.1	2151900			1	0	1				
NC_007795.1	1240816			0	61	61				
NC_007795.1	456720			0	3	3				
NC_007795.1	1151056			0	23	23				
NC_007795.1	1547231			4	0	4				
NC_007795.1	2411743			0	19	19				
NC_007795.1	895806			0	8	8				
NC_007795.1	224139			0	2	2				
NC_007795.1	1347379			0	7	7				
NC_007795.1	120709			0	6	6				
NC_007795.1	27595			0	2	2				
NC_007795.1	1933515			0	1	1				
NC_007795.1	1004235			0	5	5				
NC_007795.1	2401577			0	5	5				
NC_007795.1	1565501			0	17	17				
NC_007795.1	1643915			8	0	8				
NC_007795.1	2097158			12	0	12				
NC_007795.1	291552			0	4	4				
NC_007795.1	352656			0	18	18				
NC_007795.1	1071436			0	4	4				
NC_007795.1	1419323			0	1	1				
NC_007795.1	855603			0	1	1				
NC_007795.1	28060			0	10	10				
NC_007795.1	2144166			0	3	3				
NC_007795.1	1742023			0	1	1				
NC_007795.1	1305235			0	1	1				
NC_007795.1	2020750			0	36	36				
NC_007795.1	1877494			73	0	73				
NC_007795.1	2293024			0	3	3				
NC_007795.1	679557			0	1	1				
NC_007795.1	2439847			0	2	2				
NC_007795.1	1232598			0	2	2				
NC_007795.1	542466			0	1	1				
NC_007795.1	652757			0	5	5				
NC_007795.1	2612078			40	0	40				
NC_007795.1	167843			0	25	25				
NC_007795.1	2580150			0	3	3				
NC_007795.1	1300563			0	10	10				
NC_007795.1	1501984			0	5	5				
NC_007795.1	582450			1	0	1				
NC_007795.1	2505652			0	11	11				
NC_007795.1	1236164			0	12	12				
NC_007795.1	195230			0	4	4				
NC_007795.1	2291936			0	1	1				
NC_007795.1	1458849			0	9	9				
NC_007795.1	1917150			0	5	5				
NC_007795.1	2401979			0	23	23				
NC_007795.1	1635442			0	1	1				
NC_007795.1	860337			0	3	3				
NC_007795.1	1449116			0	2	2				
NC_007795.1	2712324			0	13	13				
NC_007795.1	81949			0	3	3				
NC_007795.1	421321			0	6	6				
NC_007795.1	2739836			0	9	9				
NC_007795.1	2430502			1	0	1				
NC_007795.1	1301490			0	4	4				
NC_007795.1	1876872			6	0	6				
NC_007795.1	782404			0	16	16				
NC_007795.1	427742			0	12	12				
NC_007795.1	1035921			2	0	2				
NC_007795.1	1623914			0	8	8				
NC_007795.1	2715092			0	4	4				
NC_007795.1	2547665			0	28	28				
NC_007795.1	941815			0	7	7				
NC_007795.1	2587174			0	2	2				
NC_007795.1	954049			0	1	1				
NC_007795.1	2747258			0	7	7				
NC_007795.1	2545497			0	3	3				
NC_007795.1	2238459			0	1	1				
NC_007795.1	2447666			0	3	3				
NC_007795.1	476354			0	1	1				
NC_007795.1	198730			2	0	2				
NC_007795.1	2339098			1	0	1				
NC_007795.1	1954950			0	62	62				
NC_007795.1	955811			0	4	4				
NC_007795.1	2149475			0	2	2				
NC_007795.1	1394478			0	3	3				
NC_007795.1	81338			0	1	1				
NC_007795.1	468052			0	2	2				
NC_007795.1	738397			0	5	5				
NC_007795.1	1648376			1	0	1				
NC_007795.1	2311656			0	9	9				
NC_007795.1	415380			0	1	1				
NC_007795.1	762571			0	3	3				
NC_007795.1	854622			0	2	2				
NC_007795.1	662763			0	25	25				
NC_007795.1	1933010			0	17	17				
NC_007795.1	416527			0	3	3				
NC_007795.1	2588226			0	3	3				
NC_007795.1	2775249			0	15	15				
NC_007795.1	1413306			0	1	1				
NC_007795.1	2741939			0	1	1				
NC_007795.1	2766403			0	6	6				
NC_007795.1	157566			0	5	5				
NC_007795.1	2304609			0	13	13				
NC_007795.1	1768931			5	0	5				
NC_007795.1	2629386			0	8	8				
NC_007795.1	1023459			0	1	1				
NC_007795.1	2190774			0	1	1				
NC_007795.1	1714317			11	0	11				
NC_007795.1	1662497			0	2	2				
NC_007795.1	2057683			0	1	1				
NC_007795.1	1677182			0	1	1				
NC_007795.1	1757379			0	5	5				
NC_007795.1	387787			8	0	8				
NC_007795.1	2183727			0	2	2				
NC_007795.1	440215			2	0	2				
NC_007795.1	2230509			0	4	4				
NC_007795.1	551041			0	5	5				
NC_007795.1	168331			0	12	12				
NC_007795.1	904961			0	5	5				
NC_007795.1	1285849			0	8	8				
NC_007795.1	2279686			0	4	4				
NC_007795.1	128482			0	2	2				
NC_007795.1	592393			0	1	1				
NC_007795.1	1474290			0	4	4				
NC_007795.1	1467827			0	3	3				
NC_007795.1	478675			0	2	2				
NC_007795.1	999555			0	1	1				
NC_007795.1	133815			0	2	2				
NC_007795.1	1321916			0	2	2				
NC_007795.1	2349250			0	9	9				
NC_007795.1	616698			0	5	5				
NC_007795.1	824395			0	15	15				
NC_007795.1	2094801			0	7	7				
NC_007795.1	1430900			0	6	6				
NC_007795.1	2513092			0	3	3				
NC_007795.1	1573580			0	1	1				
NC_007795.1	1075112			0	15	15				
NC_007795.1	2010358			22	0	22				
NC_007795.1	1347472			0	11	11				
NC_007795.1	1639247			0	5	5				
NC_007795.1	2375545			0	5	5				
NC_007795.1	641506			0	3	3				
NC_007795.1	1887829			0	1	1				
NC_007795.1	2563641			0	4	4				
NC_007795.1	1342438			0	1	1				
NC_007795.1	2523003			0	6	6				
NC_007795.1	856357			15	0	15				
NC_007795.1	1261084			0	5	5				
NC_007795.1	964253			0	1	1				
NC_007795.1	2573908			0	2	2				
NC_007795.1	988006			0	3	3				
NC_007795.1	2701188			0	4	4				
NC_007795.1	2411385			0	2	2				
NC_007795.1	140012			0	8	8				
NC_007795.1	1169265			0	2	2				
NC_007795.1	23812			0	7	7				
NC_007795.1	1354244			0	2	2				
NC_007795.1	1297886			0	2	2				
NC_007795.1	1498773			0	7	7				
NC_007795.1	2500894			0	1	1				
NC_007795.1	215591			0	4	4				
NC_007795.1	397216			0	2	2				
NC_007795.1	405000			0	5	5				
NC_007795.1	691614			0	4	4				
NC_007795.1	1587274			0	8	8				
NC_007795.1	1439350			0	7	7				
NC_007795.1	1720894			0	1	1				
NC_007795.1	807858			0	10	10				
NC_007795.1	1584593			0	8	8				
NC_007795.1	678774			0	1	1				
NC_007795.1	1341305			4	0	4				
NC_007795.1	1170451			0	3	3				
NC_007795.1	1102852			0	1	1				
NC_007795.1	1501577			0	1	1				
NC_007795.1	791681			0	1	1				
NC_007795.1	339933			0	2	2				
NC_007795.1	206755			0	29	29				
NC_007795.1	2225332			0	1	1				
NC_007795.1	1290072			0	2	2				
NC_007795.1	2447636			0	5	5				
NC_007795.1	1732961			0	2	2				
NC_007795.1	2137458			0	3	3				
NC_007795.1	1962986			0	5	5				
NC_007795.1	1624940			0	4	4				
NC_007795.1	1398894			0	1	1				
NC_007795.1	880366			0	7	7				
NC_007795.1	2522046			0	26	26				
NC_007795.1	2607854			0	1	1				
NC_007795.1	264013			0	1	1				
NC_007795.1	1323159			0	1	1				
NC_007795.1	2323805			0	3	3				
NC_007795.1	2344814			0	9	9				
NC_007795.1	165318			0	3	3				
NC_007795.1	28883			0	9	9				
NC_007795.1	1758771			0	25	25				
NC_007795.1	119306			0	1	1				
NC_007795.1	800975			0	3	3				
NC_007795.1	341686			0	9	9				
NC_007795.1	2707806			0	3	3				
NC_007795.1	1257175			0	1	1				
NC_007795.1	517095			0	5	5				
NC_007795.1	1858082			0	9	9				
NC_007795.1	951637			0	2	2				
NC_007795.1	730529			2	0	2				
NC_007795.1	1450406			0	4	4				
NC_007795.1	2441365			0	5	5				
NC_007795.1	1413972			0	1	1				
NC_007795.1	2008335			0	4	4				
NC_007795.1	1782132			0	4	4				
NC_007795.1	988930			0	5	5				
NC_007795.1	183521			0	2	2				
NC_007795.1	1898769			0	4	4				
NC_007795.1	639666			0	3	3				
NC_007795.1	2151772			0	6	6				
NC_007795.1	600556			0	10	10				
NC_007795.1	961359			0	1	1				
NC_007795.1	2062419			0	2	2				
NC_007795.1	1882543			0	1	1				
NC_007795.1	101055			1	0	1				
NC_007795.1	2358246			0	1	1				
NC_007795.1	2013011			0	6	6				
NC_007795.1	635125			0	7	7				
NC_007795.1	919956			0	4	4				
NC_007795.1	947462			0	2	2				
NC_007795.1	575998			0	9	9				
NC_007795.1	934734			0	2	2				
NC_007795.1	512711			0	7	7				
NC_007795.1	1587262			0	2	2				
NC_007795.1	155556			0	1	1				
NC_007795.1	2706907			2	0	2				
NC_007795.1	472891			0	4	4				
NC_007795.1	1621766			1	0	1				
NC_007795.1	2562428			0	1	1				
NC_007795.1	1636512			0	6	6				
NC_007795.1	1824317			3	0	3				
NC_007795.1	2289818			0	8	8				
NC_007795.1	2189903			0	1	1				
NC_007795.1	578954			0	3	3				
NC_007795.1	1881493			0	1	1				
NC_007795.1	1152205			0	2	2				
NC_007795.1	2381806			0	1	1				
NC_007795.1	1842656			0	2	2				
NC_007795.1	796992			0	1	1				
NC_007795.1	1633782			1	0	1				
NC_007795.1	172866			0	4	4				
NC_007795.1	71660			0	3	3				
NC_007795.1	584625			0	2	2				
NC_007795.1	2272458			0	1	1				
NC_007795.1	1041812			0	2	2				
NC_007795.1	39163			0	2	2				
NC_007795.1	1529488			2	0	2				
NC_007795.1	2312280			0	1	1				
NC_007795.1	1777932			7	0	7				
NC_007795.1	1439600			0	3	3				
NC_007795.1	1382254			0	42	42				
NC_007795.1	569903			0	8	8				
NC_007795.1	2164219			0	2	2				
NC_007795.1	1661948			0	5	5				
NC_007795.1	198994			0	1	1				
NC_007795.1	605956			0	1	1				
NC_007795.1	2606372			0	1	1				
NC_007795.1	1181497			0	1	1				
NC_007795.1	1376367			0	3	3				
NC_007795.1	1431677			0	7	7				
NC_007795.1	422988			2	0	2				
NC_007795.1	1330738			0	1	1				
NC_007795.1	443560			0	1	1				
NC_007795.1	1543503			0	1	1				
NC_007795.1	1654534			0	9	9				
NC_007795.1	2717578			0	1	1				
NC_007795.1	1433946			0	3	3				
NC_007795.1	23202			0	2	2				
NC_007795.1	998915			0	1	1				
NC_007795.1	1160329			0	1	1				
NC_007795.1	843244			0	2	2				
NC_007795.1	1799209			0	2	2				
NC_007795.1	1391997			0	1	1				
NC_007795.1	411801			0	1	1				
NC_007795.1	1461056			0	1	1				
NC_007795.1	1935482			0	2	2				
NC_007795.1	317247			2	0	2				
NC_007795.1	767286			0	1	1				
NC_007795.1	28975			0	1	1				
NC_007795.1	2605992			0	3	3				
NC_007795.1	259833			0	1	1				
NC_007795.1	2592137			0	1	1				
NC_007795.1	169142			1	0	1				
NC_007795.1	482928			0	4	4				
NC_007795.1	2082157			0	1	1				
NC_007795.1	941509			0	1	1				
NC_007795.1	827491			1	0	1				
NC_007795.1	1062853			0	1	1				
NC_007795.1	51228			0	8	8				
NC_007795.1	785186			0	1	1				
NC_007795.1	1182105			0	2	2				
NC_007795.1	1981635			0	1	1				
NC_007795.1	630516			0	2	2				
NC_007795.1	1782582			0	2	2				
NC_007795.1	91933			0	3	3				
NC_007795.1	773605			0	1	1				
NC_007795.1	819459			0	3	3				
NC_007795.1	2426084			0	2	2				
NC_007795.1	218027			2	0	2				
NC_007795.1	2309428			0	1	1				
NC_007795.1	1389024			0	1	1				
NC_007795.1	722407			0	2	2				
NC_007795.1	951184			0	2	2				
NC_007795.1	1042056			0	44	44				
NC_007795.1	781282			0	1	1				
NC_007795.1	970574			0	5	5				
NC_007795.1	786556			0	2	2				
NC_007795.1	970739			0	2	2				
NC_007795.1	1305187			0	5	5				
NC_007795.1	1215878			0	1	1				
NC_007795.1	855387			0	1	1				
NC_007795.1	2065425			0	2	2				
NC_007795.1	1335494			5	0	5				
NC_007795.1	961698			0	4	4				
NC_007795.1	1803462			0	1	1				
NC_007795.1	2459634			0	4	4				
NC_007795.1	243672			0	3	3				
NC_007795.1	459812			0	4	4				
NC_007795.1	1643457			0	20	20				
NC_007795.1	911380			0	3	3				
NC_007795.1	458681			0	2	2				
NC_007795.1	862232			0	1	1				
NC_007795.1	2167309			0	2	2				
NC_007795.1	773107			3	0	3				
NC_007795.1	2008859			0	4	4				
NC_007795.1	2213242			1	0	1				
NC_007795.1	50256			0	2	2				
NC_007795.1	1770318			0	1	1				
NC_007795.1	517768			0	1	1				
NC_007795.1	1071939			0	3	3				
NC_007795.1	2602535			0	1	1				
NC_007795.1	505981			0	3	3				
NC_007795.1	420246			0	3	3				
NC_007795.1	1448964			1	0	1				
NC_007795.1	1664067			0	1	1				
NC_007795.1	149788			0	1	1				
NC_007795.1	2289359			1	0	1				
NC_007795.1	1493320			0	2	2				
NC_007795.1	2653266			0	3	3				
NC_007795.1	661297			0	1	1				
NC_007795.1	2801422			0	2	2				
NC_007795.1	1062671			0	2	2				
NC_007795.1	1091491			0	3	3				
NC_007795.1	1825869			0	2	2				
NC_007795.1	1012126			0	1	1				
NC_007795.1	1817014			0	1	1				
NC_007795.1	1031125			0	3	3				
NC_007795.1	1138810			0	1	1				
NC_007795.1	2630047			3	0	3				
NC_007795.1	250284			0	1	1				
NC_007795.1	2407524			0	4	4				
NC_007795.1	42162			0	8	8				
NC_007795.1	211823			0	3	3				
NC_007795.1	254114			0	1	1				
NC_007795.1	949414			0	4	4				
NC_007795.1	2089446			0	7	7				
NC_007795.1	1238576			0	1	1				
NC_007795.1	2065161			0	1	1				
NC_007795.1	1039661			0	1	1				
NC_007795.1	1459108			0	1	1				
NC_007795.1	2330390			0	3	3				
NC_007795.1	2657645			0	3	3				
NC_007795.1	1576560			0	1	1				
NC_007795.1	1030705			0	1	1				
NC_007795.1	2108903			0	1	1				
NC_007795.1	2728663			0	1	1				
NC_007795.1	2220929			0	1	1				
NC_007795.1	2711364			0	3	3				
NC_007795.1	791206			0	1	1				
NC_007795.1	2214017			0	1	1				
NC_007795.1	83397			0	4	4				
NC_007795.1	314183			6	0	6				
NC_007795.1	2619707			0	1	1				
NC_007795.1	1110551			0	2	2				
NC_007795.1	609672			0	3	3				
NC_007795.1	2205117			0	3	3				
NC_007795.1	22455			1	0	1				
NC_007795.1	1298896			4	0	4				
NC_007795.1	1023474			0	1	1				
NC_007795.1	27552			0	28	28				
NC_007795.1	1729313			0	1	1				
NC_007795.1	1115522			0	2	2				
NC_007795.1	1763391			0	4	4				
NC_007795.1	2028868			2	0	2				
NC_007795.1	505153			0	2	2				
NC_007795.1	1391544			0	2	2				
NC_007795.1	26582			0	2	2				
NC_007795.1	1580476			5	0	5				
NC_007795.1	433205			0	1	1				
NC_007795.1	247452			0	2	2				
NC_007795.1	1262550			0	2	2				
NC_007795.1	1650238			0	4	4				
NC_007795.1	2797774			0	3	3				
NC_007795.1	1891367			0	1	1				
NC_007795.1	2297661			0	2	2				
NC_007795.1	1313845			0	2	2				
NC_007795.1	1299189			0	1	1				
NC_007795.1	1061790			2	0	2				
NC_007795.1	621316			0	1	1				
NC_007795.1	1767346			0	3	3				
NC_007795.1	592705			0	1	1				
NC_007795.1	543477			0	2	2				
NC_007795.1	810138			0	3	3				
NC_007795.1	1248598			0	3	3				
NC_007795.1	908454			0	1	1				
NC_007795.1	230998			0	2	2				
NC_007795.1	2308256			3	0	3				
NC_007795.1	2282069			0	4	4				
NC_007795.1	652899			0	1	1				
NC_007795.1	730641			2	0	2				
NC_007795.1	1177686			0	3	3				
NC_007795.1	1778837			0	1	1				
NC_007795.1	919708			0	1	1				
NC_007795.1	2041448			0	2	2				
NC_007795.1	2656241			0	2	2				
NC_007795.1	2176644			0	3	3				
NC_007795.1	574083			0	1	1				
NC_007795.1	405845			0	1	1				
NC_007795.1	306118			0	3	3				
NC_007795.1	124406			0	1	1				
NC_007795.1	2679702			0	1	1				
NC_007795.1	367883			0	4	4				
NC_007795.1	226454			0	1	1				
NC_007795.1	2521122			3	0	3				
NC_007795.1	1547382			0	1	1				
NC_007795.1	1720876			0	3	3				
NC_007795.1	2352073			0	1	1				
NC_007795.1	1390922			0	1	1				
NC_007795.1	1577496			0	2	2				
NC_007795.1	2271995			0	2	2				
NC_007795.1	300835			0	1	1				
NC_007795.1	1065754			0	2	2				
NC_007795.1	920922			0	1	1				
NC_007795.1	1781984			0	1	1				
NC_007795.1	154336			0	1	1				
NC_007795.1	1030659			0	1	1				
NC_007795.1	2224045			0	2	2				
NC_007795.1	465269			0	1	1				
NC_007795.1	1392694			0	7	7				
NC_007795.1	1924017			0	1	1				
NC_007795.1	2628357			0	6	6				
NC_007795.1	2810025			0	2	2				
NC_007795.1	2266135			0	6	6				
NC_007795.1	1106474			0	1	1				
NC_007795.1	2172837			0	1	1				
NC_007795.1	366530			0	2	2				
NC_007795.1	1016813			0	1	1				
NC_007795.1	101258			0	1	1				
NC_007795.1	2465925			1	0	1				
NC_007795.1	2089417			0	1	1				
NC_007795.1	2598767			0	2	2				
NC_007795.1	990721			0	4	4				
NC_007795.1	2109387			0	1	1				
NC_007795.1	1264042			1	0	1				
NC_007795.1	1220557			0	1	1				
NC_007795.1	842120			0	1	1				
NC_007795.1	1351377			0	3	3				
NC_007795.1	1077087			0	1	1				
NC_007795.1	510220			0	1	1				
NC_007795.1	2251473			0	1	1				
NC_007795.1	1144188			1	0	1				
NC_007795.1	1490103			0	3	3				
NC_007795.1	437930			0	1	1				
NC_007795.1	517272			0	1	1				
NC_007795.1	2314058			1	0	1				
NC_007795.1	732519			0	1	1				
NC_007795.1	2439744			0	1	1				
NC_007795.1	1452912			2	0	2				
NC_007795.1	1935611			0	4	4				
NC_007795.1	2371467			0	2	2				
NC_007795.1	1975473			0	2	2				
NC_007795.1	2032877			0	1	1				
NC_007795.1	126090			0	1	1				
NC_007795.1	743749			0	4	4				
NC_007795.1	1576402			3	0	3				
NC_007795.1	1420038			0	2	2				
NC_007795.1	2246070			1	0	1				
NC_007795.1	685255			0	1	1				
NC_007795.1	1128385			0	3	3				
NC_007795.1	695322			0	1	1				
NC_007795.1	2646101			0	1	1				
NC_007795.1	370277			0	2	2				
NC_007795.1	593898			0	2	2				
NC_007795.1	1190711			0	5	5				
NC_007795.1	1256966			0	2	2				
NC_007795.1	1148286			0	6	6				
NC_007795.1	305325			0	2	2				
NC_007795.1	2497165			0	1	1				
NC_007795.1	1852195			0	1	1				
NC_007795.1	1885448			0	1	1				
NC_007795.1	2152352			1	0	1				
NC_007795.1	1485122			0	1	1				
NC_007795.1	2339460			0	1	1				
NC_007795.1	1775142			0	1	1				
NC_007795.1	1035054			0	2	2				
NC_007795.1	164342			1	0	1				
NC_007795.1	2349899			0	2	2				
NC_007795.1	2200835			0	1	1				
NC_007795.1	2401384			0	2	2				
NC_007795.1	1799380			0	1	1				
NC_007795.1	441535			0	1	1				
NC_007795.1	2101810			1	0	1				
NC_007795.1	1913515			0	1	1				
NC_007795.1	1395370			0	1	1				
NC_007795.1	2524202			0	1	1				
NC_007795.1	611033			0	1	1				
NC_007795.1	1540747			0	1	1				
NC_007795.1	1036029			0	1	1				
NC_007795.1	2232002			0	1	1				
NC_007795.1	231256			0	2	2				
NC_007795.1	769616			0	1	1				
NC_007795.1	661897			0	1	1				
NC_007795.1	1914727			0	3	3				
NC_007795.1	108832			0	2	2				
NC_007795.1	1473546			0	2	2				
NC_007795.1	1036084			0	1	1				
NC_007795.1	1963034			0	5	5				
NC_007795.1	1394177			0	1	1				
NC_007795.1	1049735			0	1	1				
NC_007795.1	2077659			0	2	2				
NC_007795.1	2250756			0	1	1				
NC_007795.1	986337			0	1	1				
NC_007795.1	717819			0	1	1				
NC_007795.1	2687826			0	1	1				
NC_007795.1	314271			0	2	2				
NC_007795.1	1249247			0	2	2				
NC_007795.1	1569880			0	5	5				
NC_007795.1	740183			0	3	3				
NC_007795.1	125632			0	1	1				
NC_007795.1	737985			0	1	1				
NC_007795.1	681194			0	1	1				
NC_007795.1	1060899			0	1	1				
NC_007795.1	133024			0	1	1				
NC_007795.1	2584586			0	2	2				
NC_007795.1	2610950			0	1	1				
NC_007795.1	357993			0	1	1				
NC_007795.1	2477026			0	2	2				
NC_007795.1	239784			0	1	1				
NC_007795.1	35457			0	2	2				
NC_007795.1	1243747			0	1	1				
NC_007795.1	2725544			0	1	1				
NC_007795.1	2470696			0	1	1				
NC_007795.1	364693			0	1	1				
NC_007795.1	446237			0	1	1				
NC_007795.1	459385			0	1	1				
NC_007795.1	455162			0	1	1				
NC_007795.1	28787			0	27	27				
NC_007795.1	2667433			0	1	1				
NC_007795.1	899873			0	1	1				
NC_007795.1	2361584			0	1	1				
NC_007795.1	786431			0	1	1				
NC_007795.1	1002880			0	1	1				
NC_007795.1	2636938			0	1	1				
NC_007795.1	2271326			2	0	2				
NC_007795.1	2060890			0	1	1				
NC_007795.1	720930			0	1	1				
NC_007795.1	287171			0	2	2				
NC_007795.1	849246			1	0	1				
NC_007795.1	1438357			0	1	1				
NC_007795.1	2267302			0	1	1				
NC_007795.1	1108905			0	1	1				
NC_007795.1	2307099			1	0	1				
NC_007795.1	1588799			0	2	2				
NC_007795.1	678681			0	1	1				
NC_007795.1	2367717			0	5	5				
NC_007795.1	1557130			0	1	1				
NC_007795.1	1187922			0	1	1				
NC_007795.1	510366			0	2	2				
NC_007795.1	162890			0	1	1				
NC_007795.1	889057			0	1	1				
NC_007795.1	1660203			0	3	3				
NC_007795.1	1528468			2	0	2				
NC_007795.1	971380			0	1	1				
NC_007795.1	2070616			0	3	3				
NC_007795.1	2428974			0	1	1				
NC_007795.1	1576725			0	1	1				
NC_007795.1	2633018			0	1	1				
NC_007795.1	2178182			0	1	1				
NC_007795.1	905434			0	1	1				
NC_007795.1	493067			0	2	2				
NC_007795.1	599301			0	1	1				
NC_007795.1	1460109			0	2	2				
NC_007795.1	2031489			0	1	1				
NC_007795.1	202685			0	1	1				
NC_007795.1	688794			0	1	1				
NC_007795.1	1359918			1	0	1				
NC_007795.1	2298882			0	1	1				
NC_007795.1	936589			0	1	1				
NC_007795.1	577389			0	2	2				
NC_007795.1	1379286			0	2	2				
NC_007795.1	2724782			0	1	1				
NC_007795.1	1887114			0	3	3				
NC_007795.1	2346118			0	1	1				
NC_007795.1	1575764			0	1	1				
NC_007795.1	2408639			0	1	1				
NC_007795.1	2809755			0	1	1				
NC_007795.1	2300882			0	1	1				
NC_007795.1	2329055			0	2	2				
NC_007795.1	2084196			0	1	1				
NC_007795.1	2803229			1	0	1				
NC_007795.1	524973			0	1	1				
NC_007795.1	333154			0	1	1				
NC_007795.1	917941			0	2	2				
NC_007795.1	2461473			0	1	1				
NC_007795.1	779290			0	4	4				
NC_007795.1	1556244			0	3	3				
NC_007795.1	2707285			0	1	1				
NC_007795.1	2702753			0	2	2				
NC_007795.1	2164796			0	1	1				
NC_007795.1	1717698			0	1	1				
NC_007795.1	403470			0	2	2				
NC_007795.1	2244889			0	1	1				
NC_007795.1	1318080			0	1	1				
NC_007795.1	1416608			0	1	1				
NC_007795.1	881722			0	1	1				
NC_007795.1	2099489			0	1	1				
NC_007795.1	1018391			0	1	1				
NC_007795.1	476102			0	1	1				
NC_007795.1	1915651			0	1	1				
NC_007795.1	2646485			0	1	1				
NC_007795.1	177043			0	1	1				
NC_007795.1	1788686			0	1	1				
NC_007795.1	1333224			0	1	1				
NC_007795.1	314215			0	1	1				
NC_007795.1	169459			1	0	1				
NC_007795.1	2396390			0	3	3				
NC_007795.1	560427			0	1	1				
NC_007795.1	1406520			1	0	1				
NC_007795.1	2656447			0	1	1				
NC_007795.1	999541			0	2	2				
NC_007795.1	2026526			0	1	1				
NC_007795.1	649731			0	1	1				
NC_007795.1	1321196			0	1	1				
NC_007795.1	2227279			3	0	3				
NC_007795.1	816079			0	1	1				
NC_007795.1	2726247			0	1	1				
NC_007795.1	2012560			0	1	1				
NC_007795.1	2249841			0	1	1				
NC_007795.1	564100			1	0	1				
NC_007795.1	1364183			0	1	1				
NC_007795.1	2712765			0	1	1				
NC_007795.1	1750423			0	1	1				
NC_007795.1	1633190			0	1	1				
NC_007795.1	1000437			6	0	6				
NC_007795.1	2706150			0	1	1				
NC_007795.1	1532540			0	1	1				
NC_007795.1	2303157			2	0	2				
NC_007795.1	1922190			0	1	1				
NC_007795.1	1075892			0	1	1				
NC_007795.1	372095			0	1	1				
NC_007795.1	522948			1	0	1				
NC_007795.1	1018415			0	2	2				
NC_007795.1	1366976			0	1	1				
NC_007795.1	266115			0	1	1				
NC_007795.1	1227864			0	1	1				
NC_007795.1	1433414			0	1	1				
